----------Profiling Report for CoOpI----------
Vector Size: 110; Interval: 0.0472259521484375; Reduction: 34.219083309173584
Vector Size: 210; Interval: 0.0880744457244873; Reduction: 116.75134634971619
Vector Size: 310; Interval: 0.20403838157653809; Reduction: 261.8566474914551
Vector Size: 410; Interval: 0.17065787315368652; Reduction: 0
Vector Size: 510; Interval: 0.20943260192871094; Reduction: 0
Vector Size: 610; Interval: 0.2483518123626709; Reduction: 0
Vector Size: 710; Interval: 0.3807814121246338; Reduction: 0
Vector Size: 810; Interval: 0.8455955982208252; Reduction: 0
Vector Size: 910; Interval: 0.48122620582580566; Reduction: 0
Vector Size: 1010; Interval: 0.5064029693603516; Reduction: 0
Vector Size: 1110; Interval: 0.6677074432373047; Reduction: 0
Vector Size: 1210; Interval: 0.7338535785675049; Reduction: 0
Vector Size: 1310; Interval: 1.0505311489105225; Reduction: 0
Vector Size: 1410; Interval: 0.9545431137084961; Reduction: 0
Vector Size: 1510; Interval: 0.94883131980896; Reduction: 0
Vector Size: 1610; Interval: 1.0964128971099854; Reduction: 0
Vector Size: 1710; Interval: 0.7713274955749512; Reduction: 0
Vector Size: 1810; Interval: 0.8208625316619873; Reduction: 0
Vector Size: 1910; Interval: 0.8610782623291016; Reduction: 0
Vector Size: 2010; Interval: 1.3783860206604004; Reduction: 0
Vector Size: 2110; Interval: 1.738703727722168; Reduction: 0
Vector Size: 2210; Interval: 1.4937999248504639; Reduction: 0
Vector Size: 2310; Interval: 1.0027453899383545; Reduction: 0
Vector Size: 2410; Interval: 1.0446734428405762; Reduction: 0
Vector Size: 2510; Interval: 1.0295841693878174; Reduction: 0
Vector Size: 2610; Interval: 1.222726821899414; Reduction: 0
Vector Size: 2710; Interval: 1.1447670459747314; Reduction: 0
Vector Size: 2810; Interval: 1.1881072521209717; Reduction: 0
Vector Size: 2910; Interval: 2.2674918174743652; Reduction: 0
Vector Size: 3010; Interval: 1.2267053127288818; Reduction: 0
Vector Size: 3110; Interval: 1.272362232208252; Reduction: 0
Vector Size: 3210; Interval: 1.5970261096954346; Reduction: 0
Vector Size: 3310; Interval: 1.4140253067016602; Reduction: 0
