----------Profiling Report for Stable1----------
Vector Size: 33; Interval: 0.002176046371459961; Reduction: 6.664119482040405
Vector Size: 63; Interval: 0.004858493804931641; Reduction: 30.09357476234436
Vector Size: 93; Interval: 0.008815288543701172; Reduction: 78.01985907554626
Vector Size: 123; Interval: 0.011762142181396484; Reduction: 163.3784384727478
Vector Size: 153; Interval: 0.013951301574707031; Reduction: 283.5548024177551
Vector Size: 183; Interval: 0.046849727630615234; Reduction: 99.53572535514832
Vector Size: 213; Interval: 0.03206324577331543; Reduction: 191.02063298225403
Vector Size: 243; Interval: 0.03752326965332031; Reduction: 1115.1235473155975
Vector Size: 273; Interval: 0.02277064323425293; Reduction: 222.86935448646545
Vector Size: 303; Interval: 0.03550148010253906; Reduction: 250.40841364860535
Vector Size: 333; Interval: 0.02766704559326172; Reduction: 1186.2282733917236
Vector Size: 363; Interval: 0.030694007873535156; Reduction: 839.067150592804
Vector Size: 393; Interval: 0.030060768127441406; Reduction: 2069.9247539043427
Vector Size: 423; Interval: 0.03164339065551758; Reduction: 0
Vector Size: 453; Interval: 0.034127235412597656; Reduction: 0
Vector Size: 483; Interval: 0.03580284118652344; Reduction: 0
Vector Size: 513; Interval: 0.03826165199279785; Reduction: 0
Vector Size: 543; Interval: 0.040837764739990234; Reduction: 0
Vector Size: 573; Interval: 0.04291677474975586; Reduction: 0
Vector Size: 603; Interval: 0.045259952545166016; Reduction: 0
Vector Size: 633; Interval: 0.04827427864074707; Reduction: 0
Vector Size: 663; Interval: 0.050147056579589844; Reduction: 0
Vector Size: 693; Interval: 0.05252814292907715; Reduction: 0
Vector Size: 723; Interval: 0.05391383171081543; Reduction: 0
Vector Size: 753; Interval: 0.05660247802734375; Reduction: 0
Vector Size: 783; Interval: 0.05931520462036133; Reduction: 0
Vector Size: 813; Interval: 0.06095409393310547; Reduction: 0
Vector Size: 843; Interval: 0.06283688545227051; Reduction: 0
Vector Size: 873; Interval: 0.06535124778747559; Reduction: 0
Vector Size: 903; Interval: 0.06667232513427734; Reduction: 0
Vector Size: 933; Interval: 0.07061886787414551; Reduction: 0
Vector Size: 963; Interval: 0.07234859466552734; Reduction: 0
Vector Size: 993; Interval: 0.0748748779296875; Reduction: 0
Vector Size: 1023; Interval: 0.07598280906677246; Reduction: 0
Vector Size: 1053; Interval: 0.07844781875610352; Reduction: 0
Vector Size: 1083; Interval: 0.08116292953491211; Reduction: 0
Vector Size: 1113; Interval: 0.08446860313415527; Reduction: 0
Vector Size: 1143; Interval: 0.08779263496398926; Reduction: 0
Vector Size: 1173; Interval: 0.08860349655151367; Reduction: 0
Vector Size: 1203; Interval: 0.09074735641479492; Reduction: 0
Vector Size: 1233; Interval: 0.09273052215576172; Reduction: 0
Vector Size: 1263; Interval: 0.0931849479675293; Reduction: 0
Vector Size: 1293; Interval: 0.09557080268859863; Reduction: 0
Vector Size: 1323; Interval: 0.09802031517028809; Reduction: 0
Vector Size: 1353; Interval: 0.1015632152557373; Reduction: 0
Vector Size: 1383; Interval: 0.10274410247802734; Reduction: 0
Vector Size: 1413; Interval: 0.1053164005279541; Reduction: 0
Vector Size: 1443; Interval: 0.10717320442199707; Reduction: 0
Vector Size: 1473; Interval: 0.10887408256530762; Reduction: 0
Vector Size: 1503; Interval: 0.11353230476379395; Reduction: 0
Vector Size: 1533; Interval: 0.1135108470916748; Reduction: 0
Vector Size: 1563; Interval: 0.11725330352783203; Reduction: 0
Vector Size: 1593; Interval: 0.11800169944763184; Reduction: 0
Vector Size: 1623; Interval: 0.12002778053283691; Reduction: 0
Vector Size: 1653; Interval: 0.12402796745300293; Reduction: 0
Vector Size: 1683; Interval: 0.12504792213439941; Reduction: 0
Vector Size: 1713; Interval: 0.12532949447631836; Reduction: 0
Vector Size: 1743; Interval: 0.12895488739013672; Reduction: 0
Vector Size: 1773; Interval: 0.13149023056030273; Reduction: 0
Vector Size: 1803; Interval: 0.13486194610595703; Reduction: 0
Vector Size: 1833; Interval: 0.13636374473571777; Reduction: 0
Vector Size: 1863; Interval: 0.1373882293701172; Reduction: 0
Vector Size: 1893; Interval: 0.13901400566101074; Reduction: 0
Vector Size: 1923; Interval: 0.1440417766571045; Reduction: 0
Vector Size: 1953; Interval: 0.1422131061553955; Reduction: 0
Vector Size: 1983; Interval: 0.14588069915771484; Reduction: 0
Vector Size: 2013; Interval: 0.1495046615600586; Reduction: 0
Vector Size: 2043; Interval: 0.15128016471862793; Reduction: 0
Vector Size: 2073; Interval: 0.1533970832824707; Reduction: 0
Vector Size: 2103; Interval: 0.15558075904846191; Reduction: 0
Vector Size: 2133; Interval: 0.15811586380004883; Reduction: 0
Vector Size: 2163; Interval: 0.15990638732910156; Reduction: 0
Vector Size: 2193; Interval: 0.1643064022064209; Reduction: 0
Vector Size: 2223; Interval: 0.164947509765625; Reduction: 0
Vector Size: 2253; Interval: 0.16983413696289062; Reduction: 0
Vector Size: 2283; Interval: 0.17051362991333008; Reduction: 0
Vector Size: 2313; Interval: 0.16830062866210938; Reduction: 0
Vector Size: 2343; Interval: 0.17214608192443848; Reduction: 0
Vector Size: 2373; Interval: 0.17589950561523438; Reduction: 0
Vector Size: 2403; Interval: 0.17650985717773438; Reduction: 0
Vector Size: 2433; Interval: 0.178358793258667; Reduction: 0
Vector Size: 2463; Interval: 0.1824967861175537; Reduction: 0
Vector Size: 2493; Interval: 0.18469643592834473; Reduction: 0
Vector Size: 2523; Interval: 0.18383169174194336; Reduction: 0
Vector Size: 2553; Interval: 0.18873167037963867; Reduction: 0
Vector Size: 2583; Interval: 0.20544672012329102; Reduction: 0
Vector Size: 2613; Interval: 0.19139575958251953; Reduction: 0
Vector Size: 2643; Interval: 0.1953413486480713; Reduction: 0
Vector Size: 2673; Interval: 0.19818878173828125; Reduction: 0
Vector Size: 2703; Interval: 0.19901299476623535; Reduction: 0
Vector Size: 2733; Interval: 0.20617437362670898; Reduction: 0
Vector Size: 2763; Interval: 0.20254111289978027; Reduction: 0
Vector Size: 2793; Interval: 0.20640897750854492; Reduction: 0
Vector Size: 2823; Interval: 0.22301721572875977; Reduction: 0
Vector Size: 2853; Interval: 0.20827460289001465; Reduction: 0
Vector Size: 2883; Interval: 0.22565937042236328; Reduction: 0
Vector Size: 2913; Interval: 0.2145078182220459; Reduction: 0
Vector Size: 2943; Interval: 0.21566128730773926; Reduction: 0
Vector Size: 2973; Interval: 0.22197484970092773; Reduction: 0
Vector Size: 3003; Interval: 0.22074460983276367; Reduction: 0
Vector Size: 3033; Interval: 0.2233579158782959; Reduction: 0
Vector Size: 3063; Interval: 0.22657060623168945; Reduction: 0
Vector Size: 3093; Interval: 0.2268998622894287; Reduction: 0
Vector Size: 3123; Interval: 0.22982168197631836; Reduction: 0
Vector Size: 3153; Interval: 0.23235464096069336; Reduction: 0
Vector Size: 3183; Interval: 0.23319554328918457; Reduction: 0
Vector Size: 3213; Interval: 0.23513221740722656; Reduction: 0
Vector Size: 3243; Interval: 0.2358090877532959; Reduction: 0
Vector Size: 3273; Interval: 0.23988723754882812; Reduction: 0
Vector Size: 3303; Interval: 0.24079680442810059; Reduction: 0
Vector Size: 3333; Interval: 0.24749374389648438; Reduction: 0
Vector Size: 3363; Interval: 0.24500322341918945; Reduction: 0
Vector Size: 3393; Interval: 0.24793076515197754; Reduction: 0
Vector Size: 3423; Interval: 0.25123143196105957; Reduction: 0
Vector Size: 3453; Interval: 0.2520487308502197; Reduction: 0
Vector Size: 3483; Interval: 0.2539658546447754; Reduction: 0
Vector Size: 3513; Interval: 0.2570960521697998; Reduction: 0
Vector Size: 3543; Interval: 0.2613039016723633; Reduction: 0
Vector Size: 3573; Interval: 0.2755250930786133; Reduction: 0
Vector Size: 3603; Interval: 0.2676568031311035; Reduction: 0
Vector Size: 3633; Interval: 0.26745080947875977; Reduction: 0
Vector Size: 3663; Interval: 0.27736735343933105; Reduction: 0
Vector Size: 3693; Interval: 0.2680814266204834; Reduction: 0
Vector Size: 3723; Interval: 0.27140116691589355; Reduction: 0
Vector Size: 3753; Interval: 0.27783870697021484; Reduction: 0
Vector Size: 3783; Interval: 0.2768852710723877; Reduction: 0
Vector Size: 3813; Interval: 0.27843356132507324; Reduction: 0
Vector Size: 3843; Interval: 0.29378318786621094; Reduction: 0
Vector Size: 3873; Interval: 0.2986314296722412; Reduction: 0
Vector Size: 3903; Interval: 0.2845945358276367; Reduction: 0
Vector Size: 3933; Interval: 0.2898409366607666; Reduction: 0
Vector Size: 3963; Interval: 0.2897927761077881; Reduction: 0
Vector Size: 3993; Interval: 0.3025474548339844; Reduction: 0
Vector Size: 4023; Interval: 0.2965424060821533; Reduction: 0
Vector Size: 4053; Interval: 0.2968025207519531; Reduction: 0
Vector Size: 4083; Interval: 0.30670762062072754; Reduction: 0
Vector Size: 4113; Interval: 0.30252742767333984; Reduction: 0
Vector Size: 4143; Interval: 0.3281090259552002; Reduction: 0
Vector Size: 4173; Interval: 0.30432629585266113; Reduction: 0
Vector Size: 4203; Interval: 0.31275081634521484; Reduction: 0
Vector Size: 4233; Interval: 0.30927157402038574; Reduction: 0
Vector Size: 4263; Interval: 0.3156890869140625; Reduction: 0
Vector Size: 4293; Interval: 0.3134734630584717; Reduction: 0
Vector Size: 4323; Interval: 0.31948399543762207; Reduction: 0
Vector Size: 4353; Interval: 0.3179812431335449; Reduction: 0
Vector Size: 4383; Interval: 0.3189232349395752; Reduction: 0
Vector Size: 4413; Interval: 0.3213369846343994; Reduction: 0
Vector Size: 4443; Interval: 0.32715749740600586; Reduction: 0
Vector Size: 4473; Interval: 0.33035802841186523; Reduction: 0
Vector Size: 4503; Interval: 0.3402247428894043; Reduction: 0
Vector Size: 4533; Interval: 0.3306281566619873; Reduction: 0
Vector Size: 4563; Interval: 0.33512353897094727; Reduction: 0
Vector Size: 4593; Interval: 0.3527693748474121; Reduction: 0
Vector Size: 4623; Interval: 0.33640098571777344; Reduction: 0
Vector Size: 4653; Interval: 0.3406338691711426; Reduction: 0
Vector Size: 4683; Interval: 0.35523104667663574; Reduction: 0
Vector Size: 4713; Interval: 0.34393787384033203; Reduction: 0
Vector Size: 4743; Interval: 0.34709668159484863; Reduction: 0
Vector Size: 4773; Interval: 0.3473188877105713; Reduction: 0
Vector Size: 4803; Interval: 0.35286831855773926; Reduction: 0
Vector Size: 4833; Interval: 0.35195255279541016; Reduction: 0
Vector Size: 4863; Interval: 0.3524129390716553; Reduction: 0
Vector Size: 4893; Interval: 0.3693256378173828; Reduction: 0
Vector Size: 4923; Interval: 0.3668842315673828; Reduction: 0
Vector Size: 4953; Interval: 0.35935115814208984; Reduction: 0
Vector Size: 4983; Interval: 0.36290693283081055; Reduction: 0
Vector Size: 5013; Interval: 0.3631291389465332; Reduction: 0
Vector Size: 5043; Interval: 0.36672115325927734; Reduction: 0
Vector Size: 5073; Interval: 0.3692283630371094; Reduction: 0
Vector Size: 5103; Interval: 0.37239885330200195; Reduction: 0
Vector Size: 5133; Interval: 0.38759541511535645; Reduction: 0
Vector Size: 5163; Interval: 0.3820469379425049; Reduction: 0
Vector Size: 5193; Interval: 0.37888240814208984; Reduction: 0
Vector Size: 5223; Interval: 0.38771486282348633; Reduction: 0
Vector Size: 5253; Interval: 0.39947509765625; Reduction: 0
Vector Size: 5283; Interval: 0.3846461772918701; Reduction: 0
Vector Size: 5313; Interval: 0.38947272300720215; Reduction: 0
Vector Size: 5343; Interval: 0.40361642837524414; Reduction: 0
Vector Size: 5373; Interval: 0.39034152030944824; Reduction: 0
Vector Size: 5403; Interval: 0.3943040370941162; Reduction: 0
Vector Size: 5433; Interval: 0.3991587162017822; Reduction: 0
Vector Size: 5463; Interval: 0.3978121280670166; Reduction: 0
Vector Size: 5493; Interval: 0.4015829563140869; Reduction: 0
