---------Profiling Report for CoOpI----------
Vector Size: 110; Interval: 0.03722238540649414; Reduction: 2.236830234527588
Vector Size: 210; Interval: 0.0703885555267334; Reduction: 4.237616539001465
Vector Size: 310; Interval: 0.10442471504211426; Reduction: 7.225965738296509
Vector Size: 410; Interval: 0.1412947177886963; Reduction: 9.631164073944092
Vector Size: 510; Interval: 0.17933440208435059; Reduction: 13.522064685821533
Vector Size: 610; Interval: 0.21706843376159668; Reduction: 17.586612939834595
Vector Size: 710; Interval: 0.2752676010131836; Reduction: 6.341701507568359
Vector Size: 810; Interval: 0.30521583557128906; Reduction: 23.66305661201477
Vector Size: 910; Interval: 0.3853445053100586; Reduction: 0
Vector Size: 1010; Interval: 0.461545467376709; Reduction: 0
Vector Size: 1110; Interval: 0.4566311836242676; Reduction: 0
Vector Size: 1210; Interval: 0.49994683265686035; Reduction: 0
Vector Size: 1310; Interval: 0.5452427864074707; Reduction: 0
Vector Size: 1410; Interval: 0.5851566791534424; Reduction: 0
Vector Size: 1510; Interval: 0.6218686103820801; Reduction: 0
Vector Size: 1610; Interval: 0.8065159320831299; Reduction: 0
Vector Size: 1710; Interval: 0.7643532752990723; Reduction: 0
Vector Size: 1810; Interval: 0.7930901050567627; Reduction: 0
Vector Size: 1910; Interval: 0.7709565162658691; Reduction: 0
Vector Size: 2010; Interval: 0.8795716762542725; Reduction: 0
Vector Size: 2110; Interval: 1.0004220008850098; Reduction: 0
Vector Size: 2210; Interval: 0.961484432220459; Reduction: 0
Vector Size: 2310; Interval: 0.9887294769287109; Reduction: 0
Vector Size: 2410; Interval: 1.0483453273773193; Reduction: 0
Vector Size: 2510; Interval: 1.0628759860992432; Reduction: 0
Vector Size: 2610; Interval: 1.2499687671661377; Reduction: 0
Vector Size: 2710; Interval: 1.0763535499572754; Reduction: 0
Vector Size: 2810; Interval: 1.1971662044525146; Reduction: 0
Vector Size: 2910; Interval: 1.2136385440826416; Reduction: 0
Vector Size: 3010; Interval: 1.310866117477417; Reduction: 0
Vector Size: 3110; Interval: 1.3636479377746582; Reduction: 0
Vector Size: 3210; Interval: 1.3816001415252686; Reduction: 0
Vector Size: 3310; Interval: 1.3153893947601318; Reduction: 0
Vector Size: 3410; Interval: 1.6408417224884033; Reduction: 0
Vector Size: 3510; Interval: 1.6332380771636963; Reduction: 0
Vector Size: 3610; Interval: 1.755497694015503; Reduction: 0
Vector Size: 3710; Interval: 1.6887381076812744; Reduction: 0
Vector Size: 3810; Interval: 1.5297937393188477; Reduction: 0
Vector Size: 3910; Interval: 1.7803032398223877; Reduction: 0
Vector Size: 4010; Interval: 1.6903581619262695; Reduction: 0
Vector Size: 4110; Interval: 1.849438190460205; Reduction: 0
Vector Size: 4210; Interval: 1.8685765266418457; Reduction: 0
Vector Size: 4310; Interval: 1.7395761013031006; Reduction: 0
Vector Size: 4410; Interval: 1.897165298461914; Reduction: 0
Vector Size: 4510; Interval: 1.7782790660858154; Reduction: 0
Vector Size: 4610; Interval: 1.716588020324707; Reduction: 0
Vector Size: 4710; Interval: 1.884981632232666; Reduction: 0
Vector Size: 4810; Interval: 1.8609192371368408; Reduction: 0
Vector Size: 4910; Interval: 1.964831829071045; Reduction: 0
Vector Size: 5010; Interval: 2.0713510513305664; Reduction: 0
Vector Size: 5110; Interval: 2.0440871715545654; Reduction: 0
Vector Size: 5210; Interval: 2.044323205947876; Reduction: 0
Vector Size: 5310; Interval: 2.143523931503296; Reduction: 0
Vector Size: 5410; Interval: 2.150594472885132; Reduction: 0
Vector Size: 5510; Interval: 2.065155506134033; Reduction: 0
Vector Size: 5610; Interval: 2.1898610591888428; Reduction: 0
Vector Size: 5710; Interval: 2.2124409675598145; Reduction: 0
Vector Size: 5810; Interval: 2.164768695831299; Reduction: 0
Vector Size: 5910; Interval: 2.2805404663085938; Reduction: 0
Vector Size: 6010; Interval: 2.4637765884399414; Reduction: 0
Vector Size: 6110; Interval: 2.3473634719848633; Reduction: 0
Vector Size: 6210; Interval: 2.3793976306915283; Reduction: 0
Vector Size: 6310; Interval: 2.413482666015625; Reduction: 0
Vector Size: 6410; Interval: 2.5741045475006104; Reduction: 0
Vector Size: 6510; Interval: 2.6531436443328857; Reduction: 0
Vector Size: 6610; Interval: 2.531514883041382; Reduction: 0
Vector Size: 6710; Interval: 2.747361183166504; Reduction: 0
Vector Size: 6810; Interval: 2.6968369483947754; Reduction: 0
Vector Size: 6910; Interval: 2.6696319580078125; Reduction: 0
Vector Size: 7010; Interval: 2.61845326423645; Reduction: 0
Vector Size: 7110; Interval: 2.69400954246521; Reduction: 0
Vector Size: 7210; Interval: 2.6659905910491943; Reduction: 0
Vector Size: 7310; Interval: 2.766892194747925; Reduction: 0
Vector Size: 7410; Interval: 2.68731689453125; Reduction: 0
Vector Size: 7510; Interval: 2.839494228363037; Reduction: 0
Vector Size: 7610; Interval: 2.8770861625671387; Reduction: 0
Vector Size: 7710; Interval: 2.8535332679748535; Reduction: 0
Vector Size: 7810; Interval: 2.896404504776001; Reduction: 0
Vector Size: 7910; Interval: 3.0460588932037354; Reduction: 0
Vector Size: 8010; Interval: 3.1279003620147705; Reduction: 0
Vector Size: 8110; Interval: 3.1070592403411865; Reduction: 0
Vector Size: 8210; Interval: 3.163954734802246; Reduction: 0
Vector Size: 8310; Interval: 3.0984301567077637; Reduction: 0
Vector Size: 8410; Interval: 3.206573724746704; Reduction: 0
Vector Size: 8510; Interval: 3.2630763053894043; Reduction: 0
Vector Size: 8610; Interval: 3.2340025901794434; Reduction: 0
Vector Size: 8710; Interval: 3.509016275405884; Reduction: 0
Vector Size: 8810; Interval: 3.4901082515716553; Reduction: 0
Vector Size: 8910; Interval: 3.333571195602417; Reduction: 0
Vector Size: 9010; Interval: 3.427070140838623; Reduction: 0
Vector Size: 9110; Interval: 3.507646083831787; Reduction: 0
Vector Size: 9210; Interval: 3.6062052249908447; Reduction: 0
Vector Size: 9310; Interval: 3.7904930114746094; Reduction: 0
Vector Size: 9410; Interval: 3.351882219314575; Reduction: 0
Vector Size: 9510; Interval: 3.4395744800567627; Reduction: 0
Vector Size: 9610; Interval: 3.318101644515991; Reduction: 0
Vector Size: 9710; Interval: 3.4643476009368896; Reduction: 0
Vector Size: 9810; Interval: 3.3609063625335693; Reduction: 0
Vector Size: 9910; Interval: 3.409853219985962; Reduction: 0
Vector Size: 10010; Interval: 3.438546657562256; Reduction: 0
Vector Size: 10110; Interval: 3.5597338676452637; Reduction: 0
Vector Size: 10210; Interval: 3.445415735244751; Reduction: 0
Vector Size: 10310; Interval: 3.5120155811309814; Reduction: 0
Vector Size: 10410; Interval: 3.547264575958252; Reduction: 0
Vector Size: 10510; Interval: 3.573045015335083; Reduction: 0
Vector Size: 10610; Interval: 3.8693363666534424; Reduction: 0
Vector Size: 10710; Interval: 3.5929994583129883; Reduction: 0
Vector Size: 10810; Interval: 3.7613236904144287; Reduction: 0
Vector Size: 10910; Interval: 3.5159780979156494; Reduction: 0
Vector Size: 11010; Interval: 3.808903932571411; Reduction: 0
Vector Size: 11110; Interval: 3.8238375186920166; Reduction: 0
