Distances,Errors
90.0,0.502065
91.0,5.9354844
92.0,9.403701
93.0,7.38509
94.0,6.745732
95.0,10.668994
96.0,9.788871
97.0,7.043481
98.0,6.7082224
99.0,7.2345004
100.0,7.35463
101.0,6.354968
102.0,7.4672995
103.0,7.1695127
104.0,6.1397257
105.0,5.687459
106.0,5.137814
107.0,5.7399
108.0,4.549542
109.0,2.4537392
110.0,2.6382377
111.0,4.281046
112.0,0.057874404
113.0,1.6302192
114.0,1.8703192
115.0,2.8089573
116.0,3.3975403
117.0,4.121432
118.0,3.5838113
119.0,0.59502864
120.0,2.0458477
121.0,1.1401657
122.0,0.71539956
123.0,0.09694914
124.0,1.168774
125.0,0.84082025
126.0,1.7101954
127.0,1.8008136
128.0,1.4850736
129.0,0.69101024
130.0,0.6854835
131.0,1.2152752
132.0,1.8662192
133.0,0.94835097
134.0,0.09014073
135.0,0.3430854
136.0,0.32047945
137.0,0.4233813
138.0,0.20291978
139.0,0.7888355
140.0,1.6416385
141.0,1.8134909
142.0,1.5922868
143.0,1.0697265
144.0,2.1962166
145.0,0.089279704
146.0,1.14188
147.0,0.65951186
148.0,1.2580665
149.0,2.8644946
150.0,0.08605957
151.0,0.485856
152.0,1.6916275
153.0,1.3354332
154.0,1.49658
155.0,0.6755607
156.0,2.3873744
157.0,3.1527865
158.0,3.7687857
159.0,0.40455943
160.0,0.45681953
161.0,2.2305696
162.0,1.592801
163.0,1.333328
164.0,1.6005911
165.0,1.2412978
166.0,0.6053143
167.0,0.57188475
168.0,0.17929077
169.0,0.19908656
170.0,1.3859649
171.0,0.887187
172.0,0.88547105
173.0,1.30587
174.0,2.6774879
175.0,2.9066336
176.0,2.2874658
177.0,2.934972
178.0,4.018805
179.0,2.7528477
180.0,3.4367118
181.0,3.2415736
182.0,3.2556136
183.0,3.4855578
184.0,3.5319784
185.0,4.1721406
186.0,5.158012
187.0,2.7819953
188.0,0.19308048
189.0,0.44268247
190.0,0.7535834
191.0,0.6957768
192.0,1.4120579
193.0,2.034882
194.0,1.895936
195.0,2.66125
196.0,2.9777684
197.0,3.341179
198.0,3.8827374
199.0,0.76467234
200.0,0.5820236
201.0,2.0960035
202.0,3.2686517
203.0,0.8469605
204.0,1.3005276
205.0,1.6151763
206.0,1.8464469
207.0,1.950007
208.0,1.717076
209.0,2.183708
210.0,2.0407104
211.0,2.9949026
212.0,2.704757
213.0,1.1175666
214.0,1.7337763
215.0,1.7374581
216.0,1.7333066
217.0,1.6735727
218.0,1.4218532
219.0,1.6375747
220.0,1.9167466
221.0,1.6917301
222.0,2.0827148
223.0,1.937442
224.0,0.42072022
225.0,0.53878444
226.0,1.4296339
227.0,1.6378999
228.0,3.2802448
229.0,2.9721055
230.0,2.944608
231.0,2.682244
232.0,2.5785184
233.0,2.799634
234.0,1.7892625
235.0,1.3727521
236.0,1.1068441
237.0,1.2898506
238.0,1.34303
239.0,2.0305042
240.0,1.9267019
241.0,1.3751398
242.0,1.7633296
243.0,0.36514345
244.0,0.71243536
245.0,0.28471655
246.0,0.21627164
247.0,0.033025704
248.0,0.35007846
249.0,0.74546844
250.0,0.83151245
251.0,0.07764353
252.0,0.3572373
253.0,0.39467794
254.0,0.52957606
255.0,0.6044395
256.0,1.2555659
257.0,1.4397291
258.0,1.774059
259.0,2.2203364
260.0,1.9238634
261.0,1.8484533
262.0,1.7434739
263.0,1.488283
264.0,0.50823325
265.0,0.67041934
266.0,0.7498376
267.0,0.6249589
268.0,0.5562626
269.0,0.83728206
270.0,1.093117
271.0,1.4184481
272.0,1.6977534
273.0,1.2165893
274.0,1.3122336
275.0,1.160478
276.0,0.6840913
277.0,0.011512949
278.0,0.53007275
279.0,0.3384607
280.0,0.011563982
281.0,0.27259475
282.0,0.54632956
283.0,0.96150863
284.0,1.0620224
285.0,1.4785178
286.0,0.8925965
287.0,1.752262
288.0,1.3800515
289.0,1.2431953
290.0,1.1103137
291.0,0.46734893
292.0,0.62370825
293.0,0.16643016
294.0,0.24204385
295.0,0.13187732
296.0,0.029981459
297.0,0.10819868
298.0,0.54018164
299.0,1.362268
300.0,0.36429852
301.0,1.5981479
302.0,1.5514956
303.0,0.59763086
304.0,0.9331653
305.0,1.0567487
306.0,1.1920207
307.0,0.9077935
308.0,0.9811698
309.0,0.8464727
310.0,1.0674556
311.0,1.4499382
312.0,1.7178755
313.0,1.6045325
314.0,0.7385351
315.0,0.6443375
316.0,1.0563622
317.0,1.1326643
318.0,1.099295
319.0,1.258013
320.0,1.278162
321.0,1.6798834
322.0,0.58529305
323.0,2.0962648
324.0,1.2214472
325.0,0.5424241
326.0,0.5034839
327.0,0.59629667
328.0,1.2182747
329.0,1.2680192
330.0,1.4885087
331.0,1.7092886
332.0,1.3379751
333.0,1.9919088
334.0,2.4907644
335.0,1.8961437
336.0,1.2066613
337.0,0.7768399
338.0,0.9736642
339.0,0.9321185
340.0,0.5009909
341.0,0.69210464
342.0,0.7590489
343.0,1.4666321
344.0,1.458341
345.0,1.2006854
346.0,0.7268387
347.0,0.73987097
348.0,0.55791044
349.0,0.23396227
350.0,0.21163505
351.0,0.6637791
352.0,0.55196935
353.0,0.8024308
354.0,0.9025272
355.0,0.82989764
356.0,1.36333
357.0,1.0907341
358.0,1.6048154
359.0,1.734172
360.0,1.8281641
361.0,1.4170977
362.0,1.0533032
363.0,0.85323954
364.0,0.22074103
365.0,0.5538815
366.0,0.5643417
367.0,0.4873
368.0,1.2444787
369.0,0.002935973
370.0,0.42328703
371.0,0.13869458
372.0,0.9172009
373.0,0.9320461
374.0,1.0795797
375.0,1.3669596
376.0,1.0989736
377.0,0.7427185
378.0,0.6790969
